scope,scope_ref,name,value_num,value_text
global,,planning_horizon_days,30,
global,,replan_interval_days,7,
global,,p2_capacity_risk_ratio,1.0,
global,,p2_capacity_block_ratio,1.5,
global,,risk_debt_default_deadline_days,7,
workstation,WS-1,capacity_factor,0.90,
workstation,WS-2,capacity_factor,0.85,
workstation,WS-3,capacity_factor,0.70,
workstation,WS-4,capacity_factor,0.85,
workstation,WS-5,capacity_factor,0.95,
workstation,WS-6,capacity_factor,0.95,
workstation,WS-1,yield_rate,0.98,
workstation,WS-2,yield_rate,0.97,
workstation,WS-3,yield_rate,0.95,
workstation,WS-4,yield_rate,0.97,
workstation,WS-5,yield_rate,0.99,
workstation,WS-6,yield_rate,0.99,
article,ART-A,unit_cost,32.0,
article,ART-B,unit_cost,22.0,
article,ART-C,unit_cost,16.0,
article,ART-D,unit_cost,28.0,
article,SEMI-1,unit_cost,8.0,
article,SEMI-2,unit_cost,10.0,
article,SEMI-3,unit_cost,7.0,
article,SEMI-4,unit_cost,5.0,
article,COMP-X,unit_cost,2.0,
article,COMP-Y,unit_cost,4.0,
article,COMP-Z,unit_cost,2.5,
article,COMP-W,unit_cost,0.5,
article,COMP-V,unit_cost,1.2,
workstation,WS-1,hourly_rate,35.0,
workstation,WS-2,hourly_rate,40.0,
workstation,WS-3,hourly_rate,55.0,
workstation,WS-4,hourly_rate,42.0,
workstation,WS-5,hourly_rate,38.0,
workstation,WS-6,hourly_rate,28.0,
global,,moi_overhead_rate,0.30,
global,,moi_fixed_per_of,50.0,
