scope,scope_ref,name,value_num,value_text
global,,planning_horizon_days,30,
global,,replan_interval_days,7,
global,,p2_capacity_risk_ratio,1.0,
global,,p2_capacity_block_ratio,1.5,
global,,risk_debt_default_deadline_days,7,
global,,moi_overhead_rate,0.3,
global,,moi_fixed_per_of,50.0,
workstation,WS-1,capacity_factor,0.71,
workstation,WS-1,yield_rate,0.97,
workstation,WS-1,hourly_rate,39.7,
workstation,WS-2,capacity_factor,0.75,
workstation,WS-2,yield_rate,0.95,
workstation,WS-2,hourly_rate,56.5,
workstation,WS-3,capacity_factor,0.5,
workstation,WS-3,yield_rate,0.96,
workstation,WS-3,hourly_rate,46.2,
workstation,WS-4,capacity_factor,0.9,
workstation,WS-4,yield_rate,0.95,
workstation,WS-4,hourly_rate,25.6,
workstation,WS-5,capacity_factor,0.74,
workstation,WS-5,yield_rate,0.98,
workstation,WS-5,hourly_rate,30.6,
workstation,WS-6,capacity_factor,0.54,
workstation,WS-6,yield_rate,0.98,
workstation,WS-6,hourly_rate,44.1,
workstation,WS-7,capacity_factor,0.76,
workstation,WS-7,yield_rate,0.99,
workstation,WS-7,hourly_rate,52.9,
workstation,WS-8,capacity_factor,0.83,
workstation,WS-8,yield_rate,0.96,
workstation,WS-8,hourly_rate,47.7,
article,ART-A,unit_cost,24.87,
article,ART-B,unit_cost,29.4,
article,ART-C,unit_cost,23.03,
article,ART-D,unit_cost,30.77,
article,ART-E,unit_cost,16.47,
article,SEMI-1,unit_cost,7.09,
article,SEMI-2,unit_cost,11.78,
article,SEMI-3,unit_cost,11.13,
article,SEMI-4,unit_cost,7.14,
article,SEMI-5,unit_cost,11.01,
article,SEMI-6,unit_cost,7.17,
article,COMP-A,unit_cost,4.73,
article,COMP-B,unit_cost,3.85,
article,COMP-C,unit_cost,2.37,
article,COMP-D,unit_cost,1.64,
article,COMP-E,unit_cost,0.54,
article,COMP-F,unit_cost,4.45,
article,COMP-G,unit_cost,0.67,
article,COMP-H,unit_cost,4.19,
