article_id,label,unit,is_purchased
ART-A,Produit fini ART-A,PCE,0
ART-B,Produit fini ART-B,PCE,0
ART-C,Produit fini ART-C,PCE,0
ART-D,Produit fini ART-D,PCE,0
ART-E,Produit fini ART-E,PCE,0
SEMI-1,Semi-fini SEMI-1,PCE,0
SEMI-2,Semi-fini SEMI-2,PCE,0
SEMI-3,Semi-fini SEMI-3,PCE,0
SEMI-4,Semi-fini SEMI-4,PCE,0
SEMI-5,Semi-fini SEMI-5,PCE,0
SEMI-6,Semi-fini SEMI-6,PCE,0
COMP-A,Composant acheté COMP-A,PCE,1
COMP-B,Composant acheté COMP-B,PCE,1
COMP-C,Composant acheté COMP-C,PCE,1
COMP-D,Composant acheté COMP-D,PCE,1
COMP-E,Composant acheté COMP-E,PCE,1
COMP-F,Composant acheté COMP-F,PCE,1
COMP-G,Composant acheté COMP-G,PCE,1
COMP-H,Composant acheté COMP-H,PCE,1
