article_id,sequence_idx,workstation_id,unit_time_min
ART-A,1,WS-4,0.98
ART-A,2,WS-6,1.43
ART-A,3,WS-1,3.39
ART-A,4,WS-5,3.8
ART-B,1,WS-7,0.7
ART-B,2,WS-6,1.76
ART-B,3,WS-1,1.37
ART-C,1,WS-2,0.59
ART-C,2,WS-1,3.05
ART-C,3,WS-7,0.57
ART-D,1,WS-3,2.33
ART-D,2,WS-7,0.51
ART-D,3,WS-2,2.56
ART-D,4,WS-6,3.28
ART-E,1,WS-3,1.7
ART-E,2,WS-1,2.65
ART-E,3,WS-7,3.1
SEMI-1,1,WS-5,1.68
SEMI-2,1,WS-5,2.07
SEMI-3,1,WS-1,3.52
SEMI-3,2,WS-3,2.97
SEMI-3,3,WS-4,2.15
SEMI-4,1,WS-2,2.81
SEMI-5,1,WS-2,2.07
SEMI-5,2,WS-1,3.56
SEMI-6,1,WS-7,2.2
