config_tag,cost_per_u,d_dispo,doctrine,level,nervousness,of_total,otif,q_compliance,recovery_days,rupture_pct,seed,so_rejected,so_total,status,wip_avg,wip_sd
OF,141.66,1.0,of,faible,0.133,22,0.9493,0.9493,3,0.0,5000,0,8,ok,4.07,6.005361589121171
OF+EVENT,141.66,1.0,of_event,faible,0.033,22,0.9493,0.9493,3,0.0,5000,0,8,ok,4.07,6.005361589121171
FLUX+EVENT,97.19,1.0,event,faible,0.033,17,0.9493,0.9493,2,0.0,5000,0,8,ok,2.8,4.444291185097016
OF+EVENT+BCE,141.66,1.0,of_event_bce,faible,0.033,22,0.9493,0.9493,3,0.0,5000,0,8,ok,4.07,6.005361589121171
FLUX+EVENT+BCE,97.19,1.0,event_bce,faible,0.033,17,0.9493,0.9493,2,0.0,5000,0,8,ok,2.8,4.444291185097016
OF,60.5,1.0,of,faible,0.133,19,0.9502,0.9502,6,0.0,5001,0,9,ok,3.1,4.309972397703437
OF+EVENT,60.5,1.0,of_event,faible,0.067,19,0.9502,0.9502,6,0.0,5001,0,9,ok,3.1,4.309972397703437
FLUX+EVENT,60.68,1.0,event,faible,0.067,19,0.9502,0.9502,4,0.0,5001,0,9,ok,2.63,3.418845674657813
OF+EVENT+BCE,60.5,1.0,of_event_bce,faible,0.067,19,0.9502,0.9502,6,0.0,5001,0,9,ok,3.1,4.309972397703437
FLUX+EVENT+BCE,60.68,1.0,event_bce,faible,0.067,19,0.9502,0.9502,4,0.0,5001,0,9,ok,2.63,3.418845674657813
OF,108.57,1.0,of,faible,0.133,17,0.9498,0.9498,2,0.0,5002,0,8,ok,3.2,4.729948603642903
OF+EVENT,108.57,1.0,of_event,faible,0.033,17,0.9498,0.9498,2,0.0,5002,0,8,ok,3.2,4.729948603642903
FLUX+EVENT,84.84,0.875,event,faible,0.033,12,0.83055,0.9492,0,0.125,5002,1,8,ok,2.2,3.536996582919781
OF+EVENT+BCE,108.57,1.0,of_event_bce,faible,0.033,17,0.9498,0.9498,2,0.0,5002,0,8,ok,3.2,4.729948603642903
FLUX+EVENT+BCE,84.84,0.875,event_bce,faible,0.033,12,0.83055,0.9492,0,0.125,5002,1,8,ok,2.2,3.536996582919781
OF,103.57,1.0,of,faible,0.133,22,0.9506,0.9506,13,0.0,5003,0,9,ok,3.83,5.546563604259123
OF+EVENT,98.34,1.0,of_event,faible,0.067,22,0.9506,0.9506,13,0.0,5003,0,9,ok,3.77,5.531622779502652
FLUX+EVENT,98.33,1.0,event,faible,0.067,22,0.9506,0.9506,14,0.0,5003,0,9,ok,4.2,5.371701072639198
OF+EVENT+BCE,98.34,1.0,of_event_bce,faible,0.067,22,0.9506,0.9506,13,0.0,5003,0,9,ok,3.77,5.531622779502652
FLUX+EVENT+BCE,98.33,1.0,event_bce,faible,0.067,22,0.9506,0.9506,14,0.0,5003,0,9,ok,4.2,5.371701072639198
OF,134.44,1.0,of,faible,0.133,21,0.9504,0.9504,10,0.0,5004,0,8,ok,3.7,5.452933408599511
OF+EVENT,108.05,1.0,of_event,faible,0.033,21,0.9504,0.9504,8,0.0,5004,0,8,ok,3.53,5.500679163918562
FLUX+EVENT,99.39,0.875,event,faible,0.033,15,0.831775,0.9506,6,0.125,5004,1,8,ok,2.13,3.729965640345889
OF+EVENT+BCE,108.05,1.0,of_event_bce,faible,0.033,21,0.9504,0.9504,8,0.0,5004,0,8,ok,3.53,5.500679163918562
FLUX+EVENT+BCE,99.39,0.875,event_bce,faible,0.033,15,0.831775,0.9506,6,0.125,5004,1,8,ok,2.13,3.729965640345889
OF,135.6,1.0,of,faible,0.133,25,0.9508,0.9508,1,0.0,5005,0,9,ok,4.37,5.833809504374765
