ablation,cost_per_u,level,nervousness,otif,recovery_days,rupture_pct,seed,so_rejected,so_total,status,wip_avg,wip_sd
baseline,129.6,faible,0.033,0.9385,6,0.0,2500,0,8,ok,4.23,5.963586824729892
+skip_latency_V13C,129.6,faible,0.033,0.9385,6,0.0,2500,0,8,ok,4.23,5.963586824729892
-CPM_absorption,129.6,faible,0.033,0.9385,6,0.0,2500,0,8,ok,4.23,5.963586824729892
-tolerance_filter,129.6,faible,0.033,0.9385,6,0.0,2500,0,8,ok,4.23,5.963586824729892
-all_filters,129.6,faible,0.033,0.9385,6,0.0,2500,0,8,ok,4.23,5.963586824729892
baseline,107.01,faible,0.067,0.9309,3,0.0,2501,0,9,ok,3.23,4.882645787383872
+skip_latency_V13C,107.01,faible,0.067,0.9309,3,0.0,2501,0,9,ok,3.23,4.882645787383872
-CPM_absorption,107.01,faible,0.067,0.9309,3,0.0,2501,0,9,ok,3.23,4.882645787383872
-tolerance_filter,108.58,faible,0.067,0.9309,3,0.0,2501,0,9,ok,3.27,4.8631856547579675
-all_filters,108.58,faible,0.067,0.9309,3,0.0,2501,0,9,ok,3.27,4.8631856547579675
baseline,129.84,faible,0.033,0.9371,8,0.0,2502,0,8,ok,3.83,5.330998051949096
+skip_latency_V13C,129.84,faible,0.033,0.9371,8,0.0,2502,0,8,ok,3.83,5.330998051949096
-CPM_absorption,129.84,faible,0.033,0.9371,8,0.0,2502,0,8,ok,3.83,5.330998051949096
-tolerance_filter,129.84,faible,0.033,0.9371,8,0.0,2502,0,8,ok,3.83,5.330998051949096
-all_filters,129.84,faible,0.033,0.9371,8,0.0,2502,0,8,ok,3.83,5.330998051949096
baseline,138.61,faible,0.033,0.9501,11,0.0,2503,0,8,ok,3.93,6.410838523525034
+skip_latency_V13C,138.61,faible,0.033,0.9501,11,0.0,2503,0,8,ok,3.93,6.410838523525034
-CPM_absorption,138.61,faible,0.033,0.9501,11,0.0,2503,0,8,ok,3.93,6.410838523525034
-tolerance_filter,138.61,faible,0.033,0.9501,11,0.0,2503,0,8,ok,3.93,6.410838523525034
-all_filters,138.61,faible,0.033,0.9501,11,0.0,2503,0,8,ok,3.93,6.410838523525034
baseline,136.77,faible,0.067,0.9507,10,0.0,2504,0,9,ok,5.17,7.240133992536675
+skip_latency_V13C,136.77,faible,0.067,0.9507,10,0.0,2504,0,9,ok,5.17,7.240133992536675
-CPM_absorption,136.77,faible,0.067,0.9507,10,0.0,2504,0,9,ok,5.17,7.240133992536675
-tolerance_filter,148.1,faible,0.067,0.9507,10,0.0,2504,0,9,ok,5.5,7.18115349489491
-all_filters,148.1,faible,0.067,0.9507,10,0.0,2504,0,9,ok,5.5,7.18115349489491
baseline,127.26,moyen,0.044,0.9497,17,0.0,2500,0,14,ok,7.33,9.584551964679223
+skip_latency_V13C,127.26,moyen,0.044,0.9497,17,0.0,2500,0,14,ok,7.33,9.584551964679223
-CPM_absorption,127.26,moyen,0.044,0.9497,17,0.0,2500,0,14,ok,7.33,9.584551964679223
-tolerance_filter,131.68,moyen,0.044,0.9497,17,0.0,2500,0,14,ok,7.4,9.630444150996077
-all_filters,131.68,moyen,0.044,0.9497,17,0.0,2500,0,14,ok,7.4,9.630444150996077
baseline,111.72,moyen,0.022,0.9501,13,0.0,2501,0,12,ok,4.82,8.464602468485744
+skip_latency_V13C,111.72,moyen,0.022,0.9501,13,0.0,2501,0,12,ok,4.82,8.464602468485744
-CPM_absorption,111.72,moyen,0.022,0.9501,13,0.0,2501,0,12,ok,4.82,8.464602468485744
-tolerance_filter,111.72,moyen,0.022,0.9501,13,0.0,2501,0,12,ok,4.82,8.464602468485744
-all_filters,111.72,moyen,0.022,0.9501,13,0.0,2501,0,12,ok,4.82,8.464602468485744
baseline,131.25,moyen,0.044,0.9495,7,0.0,2502,0,14,ok,5.4,7.981227975693966
+skip_latency_V13C,131.25,moyen,0.044,0.9495,7,0.0,2502,0,14,ok,5.4,7.981227975693966
-CPM_absorption,131.25,moyen,0.044,0.9495,7,0.0,2502,0,14,ok,5.4,7.981227975693966
-tolerance_filter,131.25,moyen,0.044,0.9495,7,0.0,2502,0,14,ok,5.4,7.981227975693966
