config_tag,cost_per_u,cost_total,d_dispo,doctrine,nervousness,of_closed,of_closed_ratio,of_total,otif,q_compliance,qty_delivered,recovery_days,rupture_pct,seed,so_rejected,so_total,status,wip_avg,wip_sd
OF,88.73,165039.78,1.0,of,0.15,37,1.0,37,0.9495,0.9495,1860.0,9,0.0,700,0,18,ok,4.45,7.504631338408552
OF+EVENT,83.56,155417.7,1.0,of_event,0.033,37,1.0,37,0.9495,0.9495,1860.0,11,0.0,700,0,18,ok,4.33,7.532228307535305
FLUX+EVENT,83.75,155769.22,1.0,event,0.033,37,1.0,37,0.9495,0.9495,1860.0,9,0.0,700,0,18,ok,3.88,6.114976521059369
OF+EVENT+BCE,83.56,155417.7,1.0,of_event_bce,0.033,37,1.0,37,0.9495,0.9495,1860.0,11,0.0,700,0,18,ok,4.33,7.532228307535305
FLUX+EVENT+BCE,83.75,155769.22,1.0,event_bce,0.033,37,1.0,37,0.9495,0.9495,1860.0,9,0.0,700,0,18,ok,3.88,6.114976521059369
OF,119.66,234534.65,1.0,of,0.15,49,0.98,50,0.9289,0.9289,1960.0,8,0.0,701,0,19,ok,6.13,10.276625883431906
OF+EVENT,119.6,234423.55,1.0,of_event,0.033,49,0.98,50,0.9289,0.9289,1960.0,8,0.0,701,0,19,ok,6.13,10.276625883431906
FLUX+EVENT,117.83,233882.96,1.0,event,0.033,49,0.98,50,0.9408,0.9408,1985.0,11,0.0,701,0,19,ok,4.68,7.124775742332601
OF+EVENT+BCE,119.6,234423.55,1.0,of_event_bce,0.033,49,0.98,50,0.9289,0.9289,1960.0,8,0.0,701,0,19,ok,6.13,10.276625883431906
FLUX+EVENT+BCE,117.83,233882.96,1.0,event_bce,0.033,49,0.98,50,0.9408,0.9408,1985.0,11,0.0,701,0,19,ok,4.68,7.124775742332601
OF,133.36,227239.51,1.0,of,0.15,43,1.0,43,0.9509,0.9509,1704.0,17,0.0,702,0,16,ok,5.88,10.509223820565174
OF+EVENT,125.74,214266.55,1.0,of_event,0.033,43,1.0,43,0.9509,0.9509,1704.0,17,0.0,702,0,16,ok,5.78,10.522118215996835
FLUX+EVENT,128.5,218960.07,1.0,event,0.033,43,1.0,43,0.9509,0.9509,1704.0,13,0.0,702,0,16,ok,4.95,8.108219307528815
OF+EVENT+BCE,125.74,214266.55,1.0,of_event_bce,0.033,43,1.0,43,0.9509,0.9509,1704.0,17,0.0,702,0,16,ok,5.78,10.522118215996835
FLUX+EVENT+BCE,126.44,215459.43,1.0,event_bce,0.033,43,1.0,43,0.9509,0.9509,1704.0,13,0.0,702,0,16,ok,4.95,8.108219307528815
OF,121.4,266110.19,1.0,of,0.15,50,1.0,50,0.9412,0.9412,2192.0,9,0.0,703,0,19,ok,6.43,11.065853213586053
OF+EVENT,121.37,266037.28,1.0,of_event,0.033,50,1.0,50,0.9412,0.9412,2192.0,9,0.0,703,0,19,ok,6.43,11.065853213586053
FLUX+EVENT,121.82,267037.61,1.0,event,0.033,50,1.0,50,0.9412,0.9412,2192.0,23,0.0,703,0,19,ok,4.63,7.123526708615725
OF+EVENT+BCE,121.37,266037.28,1.0,of_event_bce,0.033,50,1.0,50,0.9412,0.9412,2192.0,9,0.0,703,0,19,ok,6.43,11.065853213586053
FLUX+EVENT+BCE,121.82,267037.61,1.0,event_bce,0.033,50,1.0,50,0.9412,0.9412,2192.0,23,0.0,703,0,19,ok,4.63,7.123526708615725
OF,104.93,208610.53,1.0,of,0.15,39,1.0,39,0.9494,0.9494,1988.0,9,0.0,704,0,16,ok,4.88,9.02368196238055
OF+EVENT,104.93,208610.53,1.0,of_event,0.033,39,1.0,39,0.9494,0.9494,1988.0,9,0.0,704,0,16,ok,4.88,9.02368196238055
FLUX+EVENT,105.52,209767.01,1.0,event,0.033,39,1.0,39,0.9494,0.9494,1988.0,14,0.0,704,0,16,ok,4.07,6.516905438716687
OF+EVENT+BCE,104.93,208610.53,1.0,of_event_bce,0.033,39,1.0,39,0.9494,0.9494,1988.0,9,0.0,704,0,16,ok,4.88,9.02368196238055
FLUX+EVENT+BCE,105.52,209767.01,1.0,event_bce,0.033,39,1.0,39,0.9494,0.9494,1988.0,14,0.0,704,0,16,ok,4.07,6.516905438716687
